,y_pred_lower,y_pred,y_pred_upper,Raw_Data
2020-03-27 00:00:00+00:00,,,,22.306837877192958
2020-03-28 00:00:00+00:00,22.10664629384846,22.09296436095153,22.077638627891346,21.9918950608521
2020-03-29 00:00:00+00:00,22.099621417483366,22.092848871881593,22.08363282759543,21.88521868383454
2020-03-30 00:00:00+00:00,22.09259654111827,22.09273338281165,22.089627027299517,22.203698910891262
2020-03-31 00:00:00+00:00,22.085571664753175,22.09261789374171,22.095621227003605,22.15153890896468
2020-04-01 00:00:00+00:00,22.078546788388078,22.092502404671773,22.10161542670769,22.288129930507534
2020-04-02 00:00:00+00:00,22.071521912022984,22.092386915601832,22.107609626411776,22.195826254738623
2020-04-03 00:00:00+00:00,22.06449703565789,22.09227142653189,22.113603826115863,22.07728060500709
2020-04-04 00:00:00+00:00,22.057472159292793,22.092155937461953,22.119598025819947,22.05017890896478
2020-04-05 00:00:00+00:00,22.0504472829277,22.092040448392012,22.125592225524034,22.179716101459743
2020-04-06 00:00:00+00:00,22.043422406562602,22.09192495932207,22.13158642522812,22.00000010423929
2020-04-07 00:00:00+00:00,22.036397530197508,22.091809470252134,22.137580624932205,21.999990000000235
2020-04-08 00:00:00+00:00,22.029372653832414,22.091693981182193,22.143574824636293,
2020-04-09 00:00:00+00:00,22.022347777467317,22.091578492112255,22.14956902434038,
2020-04-10 00:00:00+00:00,22.015322901102223,22.091463003042314,22.155563224044464,
2020-04-11 00:00:00+00:00,22.00829802473713,22.091347513972373,22.16155742374855,
2020-04-12 00:00:00+00:00,22.001273148372032,22.091232024902435,22.16755162345264,
2020-04-13 00:00:00+00:00,21.99424827200694,22.091116535832494,22.173545823156722,
2020-04-14 00:00:00+00:00,21.98722339564184,22.091001046762553,22.17954002286081,
2020-04-15 00:00:00+00:00,21.980198519276748,22.090885557692616,22.185534222564897,
2020-04-16 00:00:00+00:00,21.973173642911654,22.090770068622675,22.19152842226898,
2020-04-17 00:00:00+00:00,21.966148766546556,22.090654579552734,22.197522621973068,
2020-04-18 00:00:00+00:00,21.959123890181463,22.090539090482796,22.203516821677155,
2020-04-19 00:00:00+00:00,21.95209901381637,22.090423601412855,22.20951102138124,
2020-04-20 00:00:00+00:00,21.94507413745127,22.090308112342914,22.215505221085326,
2020-04-21 00:00:00+00:00,21.938049261086178,22.090192623272976,22.221499420789414,
2020-04-22 00:00:00+00:00,21.93102438472108,22.090077134203035,22.227493620493497,
2020-04-23 00:00:00+00:00,21.923999508355987,22.089961645133098,22.233487820197585,
2020-04-24 00:00:00+00:00,21.916974631990893,22.089846156063157,22.239482019901672,
